CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT,TH
puzzle_set_name_advanced_clear_puzzles_5,,Clear Puzzles 5,Puzzles à résoudre 5,Quebra-cabeças de Limpeza 5,クリアパズル 5,Puzzles de Limpieza 5,Müll Puzzles 5,Puzzle di Pulizia 5,พัซเซิลเคลียร์ 5
puzzle_set_description_advanced_clear_puzzles_5,,Hard techniques for clearing garbage,Techniques difficiles pour éliminer les blocs déchets,Técnicas difíceis para limpar lixo,高度なガーベッジ削除技術,Técnicas difíciles para eliminar escombros,Schwere Techniken zur Auflösung von Müll,Tecniche difficili per ripulire i rifiuti,เทคนิคเคลียร์ขยะที่ยาก
puzzle_set_name_advanced_clear_puzzles_6,,Clear Puzzles 6,Puzzles à résoudre 6,Quebra-cabeças de Limpeza 6,クリアパズル 6,Puzzles de Limpieza 6,Müll Puzzles 6,Puzzle di Pulizia 6,พัซเซิลเคลียร์ 6
puzzle_set_description_advanced_clear_puzzles_6,,Very hard techniques for clearing garbage,Techniques très difficiles pour éliminer les blocs déchets,Técnicas muito difíceis para limpar lixo,非常に高度なガーベッジ削除技術,Técnicas muy difíciles para eliminar escombros,Sehr schwere Techniken zur Müllauflösung,Tecniche molto difficili per ripulire i rifiuti,เทคนิคเคลียร์ขยะที่ยากมาก
puzzle_goal_move_heading,Heading for move puzzles,SWAP,ÉCHANGER,TROCAR,交換,INTERCAMBIOS,ZUGLIMIT,SCAMBIA,สลับ
puzzle_goal_move_objective,Objective for move puzzles,Clear all colored panels in %1 swaps,Éliminez tous les blocs colorés en %1 échanges,Limpe todos os painéis coloridos em %1 trocas,色付きパネルを%1手で全て消去,Elimina todos los paneles de color en %1 intercambios,Löse alle farbigen Panels in %1 Zügen auf,Elimina tutti i pannelli colorati in %1 scambi,เคลียร์แผงสีทั้งหมดใน %1 ครั้ง
puzzle_goal_chain_heading,Heading for chain puzzles,CHAIN,CHAÎNE,CORRENTE,チェイン,CADENA,KETTE,CATENA,เชน
puzzle_goal_chain_objective,Objective for chain puzzles,Clear all colored panels in one chain,Éliminez tous les blocs colorés en une chaîne,Limpe todos os painéis coloridos em uma corrente,色付きパネルを1つのチェインで全て消去,Elimina todos los paneles de color en una cadena,Löse alle farbigen Panels innerhalb einer Kette auf,Elimina tutti i pannelli colorati in una catena,เคลียร์แผงสีทั้งหมดในเชนเดียว
puzzle_goal_clear_heading,Heading for clear puzzles,CLEAR,NETTOYER,LIMPAR,クリア,LIMPIEZA,MÜLLAUFLÖSUNG,PULISCI,เคลียร์
puzzle_goal_clear_objective,Objective for clear puzzles,Clear all garbage blocks without losing,Éliminez tous les blocs déchets sans perdre,Limpe todos os blocos de lixo sem perder,ガーベッジブロックを全て消去してクリア,Elimina todos los escombros sin perder,Löse alle Müllblöcke auf ohne zu verlieren,Elimina tutti i blocchi spazzatura senza perdere,เคลียร์บล็อกขยะทั้งหมดโดยไม่แพ้
puzzle_goal_unknown_heading,Fallback heading for unknown puzzle types,PUZZLE,ÉNIGME,QUEBRA-CABEÇA,パズル,PUZLE,PUZZLE,PUZZLE,ปริศนา
puzzle_help_next_prompt,Continue to next help state,Press Taunt Down for Hint,Appuyez sur Provocation Bas pour un indice,Pressione Provocação Baixo para dica,挑発下でヒント,Pulsa Burla Abajo para pista,Drücke TauntDown für einen Hinweis,Premi Provocazione Giù per suggerimento,กดปุ่มเยาะเย้ยลงเพื่อดูคำใบ้
puzzle_help_solution_prompt,Show solution after hint,Press Taunt Down to see a Solution,Appuyez sur Provocation Bas pour voir la solution,Pressione Provocação Baixo para ver uma solução,挑発下で解答を見る,Pulsa Burla Abajo para ver una solución,Drücke TauntDown um eine Lösung zu sehen,Premi Provocazione Giù per vedere una soluzione,กดปุ่มเยาะเย้ยลงเพื่อดูคำตอบ
puzzle_help_no_hints,When puzzle has no hints available,No hints available for this puzzle,Aucun indice disponible pour ce puzzle,Não há dicas disponíveis para este quebra-cabeça,このパズルにはヒントがありません,No hay pistas disponibles para este puzzle,Keine Hinweise für dieses Puzzle verfügbar,Nessun suggerimento disponibile per questo puzzle,ไม่มีคำใบ้สำหรับปริศนานี้
puzzle_help_no_solution,When puzzle has no solution,No solution available for this puzzle,Aucune solution disponible pour ce puzzle,Nenhuma solução disponível para este quebra-cabeça,このパズルには解答がありません,No hay solución disponible para este puzzle,Keine Lösung für dieses Puzzle verfügbar,Nessuna soluzione disponibile per questo puzzle,ไม่มีคำตอบสำหรับปริศนานี้
puzzle_help_hint_given,When hint has been shown to player,Hint given,Indice donné,Dica dada,ヒントが与えられました,Pista dada,Hinweis gegeben,Suggerimento dato,ให้คำใบ้แล้ว
puzzle_help_solution_playing,When solution is currently playing,Solution playing,Solution en cours,Solução reproduzindo,解答を再生中,Solución reproduciéndose,Lösung läuft,Soluzione in corso,กำลังเล่นคำตอบ
op_about_attack_files,Information about attack files and mod installation,About Attack Files,À propos des fichiers Attack,Sobre arquivos de ataque,アタックファイルについて,Acerca de los archivos de ataque,Über Attack-Dateien,Informazioni sui file di attacco,เกี่ยวกับ Attack Files
op_system_info,Button for showing system information,System Info,Informations système,Informações do sistema,システム情報,Información del sistema,Systeminformationen,Informazioni di sistema,ข้อมูลระบบ
op_performance_drain,Label for the option to configure the amount of active garbage collection in favor of sleeping,Performance/Battery Drain,Performance/Consommation de la batterie,Desempenho/Dreno de bateria,パフォーマンス/バッテリー消費,Rendimiento/Consumo de batería,Performance/Stromverbrauch,Prestazioni/Consumo batteria,ประสิทธิภาพ/การใช้แบตเตอรี่
op_about_installing_mods,Information about installing mods,Installing Mods,Installation de mods,Instalando mods,MODのインストール,Cómo instalar mods,Mods installieren,Installazione mod,การติดตั้งม็อด
mod_manage_icon,Label for icon in mod management,Icon,Icône,Ícone,アイコン,Icono,Symbol,Icona,ไอคอน
mod_manage_name,Label for name in mod management,Name,Nom,Nome,名前,Nombre,Name,Nome,ชื่อ
mod_manage_music,Label for music in mod management,Music,Musique,Música,音楽,Música,Musik,Musica,เพลง
mod_manage_submods,Label for submods in mod management,Sub Mods,Sous-mods,Submods,サブMOD,Submods,Submods,Submod,ซับม็อด
mod_manage_enabled,Label for enabled in mod management,Enabled,Activé,Ativado,有効,Activado,Aktiviert,Abilitato,เปิดใช้งาน
mm_2_time,,2P time attack,2J contre la montre,2J contra o tempo,2P スコアアタック,2J Contrarreloj,2P Time Attack,2P a tempo,2P time attack
op_about_puzzles,,About custom puzzles,À propos des puzzles personnalisés,Sobre quebra-cabeças personalizados,カスタムパズルについて,Acerca de los puzles personalizados,How to: Eigene Puzzles erstellen,A proposito dei puzzle personalizzabili,เกี่ยวกับ custom puzzles
discord_welcome_title,Title for Discord community welcome screen,Welcome to Panel Attack!,Bienvenue dans Panel Attack!,Bem-vindo ao Panel Attack!,パネルアタックへようこそ！,¡Bienvenido a Panel Attack!,Willkommen bei Panel Attack!,Benvenuti in Panel Attack!,ยินดีต้อนรับสู่ Panel Attack!
discord_message_line1,First line of Discord welcome message,"Join our Discord to meet players, share ideas, and talk all things Panel Attack.","Rejoignez notre Discord pour rencontrer des joueurs, partager vos idées et discuter de tout ce qui concerne Panel Attack.","Junte-se ao nosso Discord para conhecer jogadores, compartilhar ideias e falar tudo sobre Panel Attack.",Discordに参加してプレイヤーと出会い、アイデアを共有し、パネルアタックのすべてについて語り合いましょう。,"Únete a nuestro Discord para conocer jugadores, compartir ideas y hablar de todo lo relacionado con Panel Attack.","Tritt unserem Discord bei, lerne Spieler kennen, teile Ideen und sprich über alles rund um Panel Attack.","Unisciti al nostro Discord per conoscere giocatori, condividere idee e parlare di tutto ciò che riguarda Panel Attack.",เข้าร่วม Discord ของเราเพื่อพบปะผู้เล่น แชร์ไอเดีย และพูดคุยทุกเรื่องเกี่ยวกับ Panel Attack
discord_message_line2,Second line of Discord welcome message,"Show off your mods and art, rediscover classic characters and stages, and create exciting new ones.","Présentez vos mods et vos créations, redécouvrez des personnages et des stages classiques, et créez-en de nouveaux passionnants.","Mostre seus mods e artes, redescubra personagens e fases clássicas e crie novidades empolgantes.",自分のMODやアートを披露し、クラシックなキャラクターやステージを再発見し、ワクワクする新しい作品を作りましょう。,"Presume de tus mods y arte, redescubre personajes y escenarios clásicos y crea otros nuevos emocionantes.","Zeige deine Mods und Kunst, entdecke bekannte Charaktere und Arenen neu und erschaffe deine eigenen.","Mostra i tuoi mod e le tue opere, riscopri personaggi e stage classici e crea nuove emozionanti creazioni.",โชว์ม็อดและงานศิลป์ของคุณ ค้นพบตัวละครและฉากคลาสสิกอีกครั้ง และสร้างสิ่งใหม่ที่น่าตื่นเต้น
discord_message_line3,Third line of Discord welcome message,Compete in monthly tournaments and join events for players of every skill level!,Participez à des tournois mensuels et rejoignez des événements pour tous les niveaux !,Compita em torneios mensais e participe de eventos para jogadores de todos os níveis!,毎月のトーナメントで競い合い、あらゆるスキルレベルのプレイヤー向けのイベントに参加しましょう！,Compite en torneos mensuales y únete a eventos para jugadores de todos los niveles.,Tritt in monatlichen Turnieren an und nimm an Events für Spielende aller Fähigkeitsstufen teil!,Competi nei tornei mensili e partecipa a eventi per giocatori di ogni livello di abilità!,เข้าร่วมแข่งขันในทัวร์นาเมนต์รายเดือนและกิจกรรมสำหรับผู้เล่นทุกระดับฝีมือ!
discord_join_link,Button to join Discord server,Join Discord Server,Rejoindre le serveur Discord,Entrar no servidor Discord,Discordサーバーに参加,Unirse al servidor de Discord,Discord-Server beitreten,Unisciti al server Discord,เข้าร่วมเซิร์ฟเวอร์ Discord
next_button,Text shown to continue to next screen,Next,Suivant,Próximo,次へ,Siguiente,Weiter,Avanti,ถัดไป
input_config_new_controller,Message shown when a new controller is detected and configured,"Input configurations added, please verify the button mappings, especially the Confirm, Cancel and Raise keys",Nouvelle manette détectée ! Veuillez vérifier les mappages des boutons.,Novo controlador detectado! Verifique os mapeamentos dos botões.,新しいコントローラーが検出されました！ボタンマッピングを確認してください。,¡Nuevo mando detectado! Por favor verifica los mapeos de botones.,Neuer Controller erkannt! Bitte überprüfe die Tastenbelegung.,Nuovo controller rilevato! Verifica le mappature dei pulsanti.,ตรวจพบจอยใหม่! กรุณาตรวจสอบการตั้งค่าปุ่ม
swap1,Input configuration label for first swap button,Swap 1 / Select / Confirm,Échanger 1,Trocar 1,スワップ1,Intercambiar 1 / Seleccionar / Confirmar,Tausch 1 / Auswählen / Bestätigen,Scambia 1,สลับ 1
swap2,Input configuration label for second swap button,Swap 2 / Back,Échanger 2,Trocar 2,スワップ2,Intercambiar 2 / Volver,Tausch 2 / Zurück,Scambia 2,สลับ 2
raise1,Input configuration label for first raise button,Raise 1 / Previous Page,Monter 1,Levantar 1,上げる1,Elevar 1 / Página anterior,Stapel anheben 1 / Vorherige Seite,Alza 1,เลื่อน 1
raise2,Input configuration label for second raise button,Raise 2 / Next Page,Monter 2,Levantar 2,上げる2,Elevar 2 / Siguiente página,Stapel anheben 2 / Nächste Seite,Alza 2,เลื่อน 2
tauntup,Input configuration label for taunt up button,Taunt Up / Reset Puzzle,Provocation Haut,Provocação Cima,挑発上,Burla Arriba / Reiniciar puzle,Spott 1 / Puzzle zurücksetzen,Provocazione Su,เยาะเย้ยขึ้น
tauntdown,Input configuration label for taunt down button,Taunt Down,Provocation Bas,Provocação Baixo,挑発下,Burla Abajo,Spott 2,Provocazione Giù,เยาะเย้ยลง
change_input_device,Label for changing input device,Change Input Device,Changer de périphérique d'entrée,Alterar dispositivo de entrada,入力デバイスを変更,Cambiar dispositivo de entrada,Eingabegerät ändern,Cambia dispositivo di input,เปลี่ยนอุปกรณ์ควบคุม
hold_button_device,Prompt to press a button on desired input device,Hold a button on the device you want to use,Maintenez enfoncé un bouton sur l'appareil que vous souhaitez utiliser,Mantenha premido um botão no dispositivo que pretende utilizar,使用したいデバイスのボタンを押し続けてください,Mantén pulsado un botón en el dispositivo que desees utilizar.,"Halte auf dem Gerät, das du verwenden möchtest, eine Taste gedrückt.",Tieni premuto un pulsante sul dispositivo che desideri utilizzare,กดปุ่มบนอุปกรณ์ที่คุณต้องการใช้
or_touch_player_slot,Prompt to touch player slot for touch input,or touch the player slot if you want to use touch,ou touchez l'emplacement du joueur si vous souhaitez utiliser le tactile,ou toque no espaço do jogador se quiser usar toque,またはタッチを使用する場合はプレイヤースロットをタッチしてください,o toca el espacio del jugador si quieres usar controles táctiles,oder berühre das Spielerfeld\, wenn du Touch verwenden möchtest,o tocca lo slot del giocatore se vuoi usare il touch,หรือแตะช่องผู้เล่นหากคุณต้องการใช้ระบบสัมผัส
more_players_than_configs,Error message when there are more local players than input configurations,"There are more local players than input configurations configured.
Please configure enough input configurations and try again","Il y a plus de joueurs locaux que de configurations d'entrée configurées.
Veuillez configurer suffisamment de configurations d'entrée et réessayer.","Há mais jogadores locais do que configurações de entrada configuradas.
Configure configurações de entrada suficientes e tente novamente.","ローカルプレイヤーの数がコンフィグ数より多い。
十分なインプットコンフィグを設定してもう一度試してください。","Hay más jugadores locales que configuraciones de entrada configuradas.
Configura suficientes configuraciones de entrada e intente de nuevo.","Es gibt mehr lokale Spieler als Eingabekonfigurationen.
Bitte konfiguriere genügend Eingabemethoden und versuche es erneut.","Ci sono più giocatori locali che configurazioni di input configurate.
Si prega di configurare sufficienti configurazioni di input e riprovare.","มีผู้เล่นท้องถิ่นมากกว่าการกำหนดค่า input
โปรดกำหนดค่า input เพียงพอและลองอีกครั้ง"
translation_disclaimer,Disclaimer shown in language selection to inform about the quality / source of translation,,La traduction initiale est effectuée à l'aide d'outils et peut être de qualité médiocre. La traduction peut être améliorée par la communauté.,A tradução inicial é feita com ferramentas e pode não estar à altura dos padrões. A tradução está aberta a melhorias da comunidade.,初期翻訳はツールによって行われ、水準に達していない可能性があります。翻訳はコミュニティからの改善を受け入れています。,La traducción inicial se realizó con herramientas y puede ser de calidad inferior. La traducción está abierta a mejoras por parte de la comunidad.,Die erste Übersetzung von neuem Text wird mit Tools durchgeführt und kann fehlerhaft sein. Übersetzungen sind offen für Verbesserungsvorschläge aus der Community.,La traduzione iniziale viene eseguita con strumenti e potrebbe non essere di qualità ottimale. La traduzione è aperta a miglioramenti da parte della comunità.,
gm_time_attack,Name of the score attack game mode with time limit,Time Attack,Contre la montre,Contra o tempo,スコアアタック,Contrarreloj,Time Attack,A Tempo,Time Attack
game_abort,Message displayed to spectators and opponents when a player aborts an online game,Game aborted by %1,,,,,%1 hat das Spiel abgebrochen,,
unknown_player,Placeholder for events where the sender is not known,<unknown>,,,,<desconocido>,<unbekannt>,,
